target,ref,is_self_pair,rank,signal_type,counter_trade,use_excess_return,threshold_width,hold_days,start_days,sma_period,trade_count,average_pct,std_pct,t_value,win_rate,positive_year_ratio,worst_year_profit,neighbor_expected_count,neighbor_valid_count,neighbor_coverage_ratio,neighbor_mean_t,neighbor_worst_t,neighbor_positive_ratio_expected,neighbor_t_ge_1_ratio_expected,signal_type_support_t_ge_1,signal_type_support_t_ge_2,eligible_task_count,eligible_task_positive_ratio,eligible_task_t_ge_1_ratio,eligible_mean_t,eligible_median_t
USSPX500_Futures,EUR_CHF,False,7869,change,False,False,1.000000000,20,1,100,153,0.376397756,4.993944036,0.932285800,58.169934641,60.000000000,-238.950000000,2,2,1.000000000,0.338540147,-0.702321036,0.500000000,0.500000000,0,0,18,0.277777778,0.000000000,-0.503131480,-0.530845964
USSPX500_Futures,EUR_GBP,False,1169,sma,False,False,1.000000000,20,1,15,169,0.702492704,4.885710689,1.869207109,55.029585799,53.333333333,-122.250000000,2,2,1.000000000,0.115618188,-0.868606259,0.500000000,0.500000000,4,0,40,0.400000000,0.125000000,-0.476315361,-0.468051907
USSPX500_Futures,EUR_JPY,False,5612,change,False,False,1.000000000,20,1,100,206,0.344683909,4.407359084,1.122473725,54.368932039,46.666666667,-258.280000000,2,2,1.000000000,-0.295085346,-0.692995488,0.500000000,0.000000000,1,0,40,0.225000000,0.025000000,-0.493741508,-0.436540305
USSPX500_Futures,EUR_NZD,False,5377,stoch,False,False,30.000000000,20,1,15,241,0.356444616,4.824246756,1.147020202,51.867219917,73.333333333,-230.360000000,2,2,1.000000000,0.474406565,-0.069773773,0.500000000,0.500000000,3,0,40,0.375000000,0.100000000,-0.511742171,-0.484319742
USSPX500_Futures,EUR_USD,False,10507,change,False,False,1.000000000,20,1,100,196,0.250605371,4.638200107,0.756430321,55.612244898,46.666666667,-225.000000000,2,2,1.000000000,-0.507960040,-0.673368736,0.000000000,0.000000000,0,0,38,0.157894737,0.000000000,-0.490828876,-0.475060467
USSPX500_Futures,GBP_AUD,False,21237,stoch,False,False,30.000000000,20,1,10,250,0.073823737,4.718662303,0.247370059,51.200000000,46.666666667,-281.500000000,1,1,1.000000000,-1.035127672,-1.035127672,0.000000000,0.000000000,0,0,40,0.125000000,0.000000000,-0.488034448,-0.460529128
USSPX500_Futures,GBP_CHF,False,5981,bb,True,False,1.000000000,20,1,15,264,0.316681585,4.731549069,1.087480366,53.787878788,53.333333333,-263.600000000,5,5,1.000000000,0.538365799,-0.147944428,0.800000000,0.200000000,4,0,38,0.368421053,0.131578947,-0.474503935,-0.358893804
USSPX500_Futures,GBP_JPY,False,1799,bb,True,False,2.000000000,20,1,15,151,0.613214771,4.471874777,1.685044782,55.629139073,66.666666667,-132.000000000,8,7,0.875000000,-0.241769760,-0.905797741,0.375000000,0.000000000,1,0,42,0.261904762,0.023809524,-0.478148214,-0.467625848
USSPX500_Futures,GBP_USD,False,10176,sma,True,False,1.000000000,20,1,15,197,0.276516448,5.005829615,0.775314700,50.761421320,60.000000000,-182.000000000,2,2,1.000000000,0.046379064,-0.180242696,0.500000000,0.000000000,0,0,40,0.300000000,0.000000000,-0.489614432,-0.443616702
USSPX500_Futures,GOLD_USD,False,8351,bb,True,False,1.500000000,20,1,10,239,0.281441695,4.846300645,0.897794695,51.046025105,60.000000000,-230.000000000,5,5,1.000000000,0.769404522,-0.519431250,0.800000000,0.400000000,0,0,36,0.333333333,0.000000000,-0.495631690,-0.516277196
USSPX500_Futures,NQ100_Futures,False,8288,sma,False,False,1.000000000,20,1,100,208,0.297647499,4.755566950,0.902675396,52.403846154,53.333333333,-320.700000000,2,2,1.000000000,-0.178439995,-0.793084623,0.500000000,0.000000000,0,0,40,0.150000000,0.000000000,-0.519682212,-0.509597905
USSPX500_Futures,NZD_JPY,False,8616,bb,True,False,1.500000000,20,1,10,229,0.268559626,4.614974510,0.880621245,51.091703057,60.000000000,-165.060000000,5,5,1.000000000,0.636818958,-0.684537685,0.800000000,0.400000000,0,0,40,0.275000000,0.000000000,-0.515504623,-0.479467971
USSPX500_Futures,NZD_USD,False,8987,di,True,False,20.000000000,20,1,10,187,0.279793842,4.467854862,0.856366952,48.128342246,53.333333333,-216.850000000,1,1,1.000000000,0.970687657,0.970687657,1.000000000,0.000000000,0,0,40,0.225000000,0.000000000,-0.512471206,-0.533926823
USSPX500_Futures,OIL_USD,False,7205,bb,False,False,1.000000000,20,1,100,161,0.355337194,4.598563308,0.980463513,56.521739130,53.333333333,-157.660000000,5,5,1.000000000,-0.018927618,-0.576421449,0.600000000,0.000000000,0,0,40,0.375000000,0.000000000,-0.515647798,-0.518817677
USSPX500_Futures,SILVER_USD,False,763,bb,True,False,1.500000000,20,1,10,226,0.631949036,4.667355228,2.035473343,55.752212389,80.000000000,-172.250000000,5,5,1.000000000,1.170397528,0.574981847,1.000000000,0.600000000,3,1,38,0.421052632,0.131578947,-0.512984229,-0.538545619
USSPX500_Futures,TRY_JPY,False,24228,bb,False,False,1.000000000,20,1,15,246,0.035358965,4.388401063,0.126374888,49.593495935,46.666666667,-412.850000000,5,5,1.000000000,-0.193489785,-1.042953923,0.200000000,0.000000000,0,0,40,0.050000000,0.000000000,-0.508583318,-0.518064874
USSPX500_Futures,UK100_Futures,False,10588,sma,False,False,1.000000000,20,1,200,198,0.246331169,4.605642979,0.752595634,56.060606061,66.666666667,-394.250000000,1,1,1.000000000,0.422937778,0.422937778,1.000000000,0.000000000,0,0,40,0.200000000,0.000000000,-0.515654410,-0.486799687
USSPX500_Futures,US30_Futures,False,19611,sma,False,False,1.000000000,20,1,200,185,0.096855745,4.196879385,0.313895262,55.675675676,53.846153846,-175.750000000,1,1,1.000000000,-0.362317168,-0.362317168,0.000000000,0.000000000,0,0,40,0.125000000,0.000000000,-0.497774103,-0.475533737
USSPX500_Futures,USD_CAD,False,13554,sma,False,False,1.000000000,20,1,50,188,0.227904817,5.305327297,0.589006718,50.000000000,53.333333333,-182.000000000,2,2,1.000000000,-0.439096695,-0.491912645,0.000000000,0.000000000,0,0,40,0.225000000,0.000000000,-0.480112508,-0.474512437
USSPX500_Futures,USD_CHF,False,6524,stoch,True,False,30.000000000,20,1,15,236,0.306564049,4.542752398,1.036712078,54.661016949,53.333333333,-187.000000000,2,2,1.000000000,0.570438694,0.211084154,1.000000000,0.000000000,2,0,38,0.342105263,0.052631579,-0.509062526,-0.513083120
USSPX500_Futures,USD_JPY,False,14136,change,False,False,1.000000000,20,1,50,206,0.172745691,4.414334035,0.561662772,50.485436893,46.666666667,-266.000000000,2,2,1.000000000,-0.817403880,-1.317717548,0.000000000,0.000000000,0,0,36,0.138888889,0.000000000,-0.485105008,-0.500840044
USSPX500_Futures,USSPX500_Futures,True,4528,sma,False,False,1.000000000,20,1,200,194,0.362938904,4.090591283,1.235800311,58.247422680,60.000000000,-177.250000000,1,1,1.000000000,0.453857003,0.453857003,1.000000000,0.000000000,1,0,40,0.275000000,0.025000000,-0.522236034,-0.508580514
USSPX500_Futures,ZAR_JPY,False,12343,sma,False,False,1.000000000,20,1,200,203,0.220245524,4.791361092,0.654931997,48.275862069,40.000000000,-216.000000000,1,1,1.000000000,0.616772060,0.616772060,1.000000000,0.000000000,0,0,40,0.225000000,0.000000000,-0.512108730,-0.512501311
ZAR_JPY,AUD_JPY,False,10562,bb,False,False,1.000000000,20,1,100,159,0.310796281,5.196626230,0.754141594,52.830188679,53.333333333,-2.852139853,5,5,1.000000000,0.817256398,0.234993898,1.000000000,0.400000000,0,0,40,0.450000000,0.000000000,-0.212525485,-0.213231113
ZAR_JPY,AUD_NZD,False,648,bb,False,False,1.000000000,20,1,100,159,0.830436133,5.029825599,2.081861687,57.861635220,73.333333333,-2.529981988,5,5,1.000000000,0.716163384,-0.221805983,0.600000000,0.400000000,3,2,42,0.404761905,0.095238095,-0.203835048,-0.210913506
ZAR_JPY,AUD_USD,False,10747,stoch,False,False,30.000000000,20,1,50,166,0.280882367,4.866670782,0.743612278,52.409638554,46.666666667,-4.517489134,2,2,1.000000000,0.069338985,-0.632154428,0.500000000,0.000000000,0,0,40,0.400000000,0.000000000,-0.207951574,-0.203128331
ZAR_JPY,CAD_JPY,False,4747,bb,False,False,1.000000000,20,1,100,161,0.506375079,5.307990893,1.210472961,54.658385093,60.000000000,-2.988350958,5,5,1.000000000,0.650536258,-0.349562794,0.800000000,0.400000000,1,0,40,0.325000000,0.025000000,-0.209945767,-0.218780570
ZAR_JPY,CBOE_Volatility_Index,False,4479,bb,True,False,1.000000000,20,1,100,166,0.454749414,4.723176220,1.240486502,53.614457831,73.333333333,-2.879402172,5,5,1.000000000,1.245450661,0.371430032,1.000000000,0.600000000,2,0,42,0.357142857,0.071428571,-0.240499863,-0.269831823
